pos	count1	count2	count3
0.50	161	147	171
0.60	145	152	167
0.70	135	135	149
0.80	154	114	120
0.90	152	190	154
1.00	182	204	199
1.10	203	206	192
1.20	162	178	190
1.30	184	186	180
1.40	194	171	192
1.50	210	230	212
1.60	249	242	218
1.70	223	228	234
1.80	263	247	279
1.90	357	329	321
2.00	393	402	368
2.10	404	377	379
2.20	276	264	284
2.30	227	206	196
2.40	323	311	328
2.50	609	589	583
2.60	892	773	807
2.70	762	760	707
2.80	449	427	436
2.90	206	180	193
3.00	375	346	369
3.10	909	859	907
3.20	1272	1310	1272
3.30	1254	1220	1196
3.40	705	685	731
3.50	248	241	244
3.60	364	428	401
3.70	992	982	968
3.80	1626	1488	1526
3.90	1494	1478	1541
4.00	885	890	855
4.10	345	364	367
4.20	424	412	429
4.30	957	973	913
4.40	1467	1421	1373
4.50	1407	1386	1344
4.60	828	919	914
4.70	445	453	423
4.80	404	440	426
4.90	765	732	719
5.00	1015	966	1082
5.10	948	1001	977
5.20	696	711	703
5.30	430	434	403
5.40	353	352	363
5.50	449	455	447
5.60	532	540	540
5.70	557	506	526
5.80	427	415	431
5.90	306	310	312
6.00	252	254	276
6.10	247	278	263
6.20	250	276	235
6.30	222	206	203
6.40	189	215	202
6.50	229	208	179
6.60	202	185	176
6.70	185	171	155
6.80	163	115	121
6.90	113	133	148
7.00	156	140	142
7.10	148	167	139
7.20	136	131	148
7.30	135	127	127
7.40	137	143	148
7.50	135	143	168
8.00	139	133	158
