V	I
104.9	2.459
127.4	2.779
178.0	3.239
185.2	3.287
185.2	3.301
249.5	3.852
170.3	3.146
209.9	3.554
149.4	2.943
106.7	2.456
140.8	2.878
160.7	3.036
194.3	3.398
194.2	3.381
166.9	3.104
139.1	2.820
115.1	2.625
256.5	3.926
225.1	3.627
204.3	3.481
194.3	3.399
187.8	3.303
174.4	3.212
166.5	3.112
257.5	3.907
246.5	3.810 
238.4	3.755
227.9	3.671
215.1	3.586
206.5	3.519
198.0	3.460
189.9	3.346
183.6	3.285
171.1	3.160
156.0	3.007
144.9	2.908
130.1	2.844
119.8	2.711
267.8	3.993
258.3	3.916
249.7	3.863
241.2	3.806
233.1	3.700
224.3	3.645
215.1	3.545
204.9	3.478
195.9	3.378
187.4	3.310
174.3	3.190
165.8	3.129
158.4	3.025
149.7	2.938
