2th	d/pm	Dd/pm	count	2thError
20	450	10	2767	0.25
23	380	8	2152	0.25
24	370	8	1956	0.25
25	355	8	2046	0.25
25	355	8	1871	0.25
26	340	8	1721	0.25
27	330	8	1710	0.25
28	320	8	2401	0.25
28.25	315	8	5149	0.25
28.5	313	8	5488	0.25
28.5	313	8	5839	0.25
28.75	310	5	6341	0.25
29	310	8	8037	0.25
29	310	8	4711	0.25
29.25	300	5	2086	0.25
29.5	300	5	1923	0.25
30	300	5	2406	0.25
30.5	290	3	4251	0.25
31	290	3	8300	0.25
31.5	280	3	21392	0.25
31.5	280	3	21766	0.25
31.75	280	3	25394	0.25
31.75	280	3	27450	0.25
32	280	3	27040	0.25
32	280	3	26463	0.25
32.25	275	3	9129	0.25
32.25	275	3	9834	0.25
32.5	275	3	5293	0.25
33	270	3	3741	0.25
33.5	270	3	3631	0.25
34	265	3	3363	0.25
34.5	260	3	3157	0.25
34.5	260	3	3136	0.25
35	255	3	3027	0.25
35	255	3	2826	0.25
40	225	3	1097	0.25
45	200	2	666	0.25
50	183	2	584	0.25
55	167	1	499	0.25
57	162	1	513	0.25
58	158	1	612	0.25
58.5	158	1	783	0.25
58.75	157	1	1112	0.25
59	156	1	1226	0.25
59	156	1	1325	0.25
59.25	156	1	1388	0.25
59.25	156	1	1413	0.25
59.5	155	1	1090	0.25
59.5	155	1	1217	0.25
59.75	155	1	764	0.25
60	154	1	697	0.25
60	154	1	583	0.25
61	152	1	523	0.25
63	148	1	492	0.25
65	144	1	619	0.25
65	144	1	691	0.25
65	144	1	781	0.25
65.5	143	1	2137	0.25
66	142	1	3934	0.25
66	142	1	3790	0.25
66.25	141	1	4708	0.25
66.5	141	1	4819	0.25
66.75	140	1	2538	0.25
67	140	1	791	0.25
68.5	137	1	516	0.25
70	134	0.5	519	0.25
75	127	0.5	526	0.25
80	120	0.3	525	0.25
85	114	0.3	520	0.25
90	109	0.3	537	0.25
95	102	0.3	561	0.25
100	100	0.3	602	0.25
105	97	0.2	619	0.25
107	96	0.2	623	0.25
109	94.5	0.2	753	0.25
110	94	0.2	1074	0.25
110	94	0.2	1897	0.25
110.1	94	0.2	2138	0.25
110.25	94	0.2	2159	0.25
110.25	94	0.2	1904	0.25
110.5	93.5	0.2	1751	0.25
110.5	93.5	0.2	1497	0.25
110.75	93.5	0.2	1083	0.25
111	93.5	0.2	1001	0.25
112	93	0.2	680	0.25
115	91	0.2	623	0.25
120	89	0.2	650	0.25
