Angle (deg)	Signal (V)	Error (V)
   0	0.4228	0.0005
   5	0.4254	0.0003
  10	0.4241	0.0013
  15	0.4241	0.0013
  20	0.4231	0.0007
  25	0.4224	0.0010
  30	0.4178	0.0004
  35	0.4152	0.0002
  40	0.4110	0.0012
  45	0.4051	0.0003
  50	0.3999	0.0008
  55	0.3915	0.0012
  60	0.3822	0.0004
  65	0.3702	0.0012
  70	0.3570	0.0009
  75	0.3413	0.0003
  80	0.3209	0.0006
  85	0.2856	0.0007
  90	0.1808	0.0004
  95	0.0713	0.0003
 100	0.0179	0.0004
 105	0.0674	0.0013
 110	0.1794	0.0013
 115	0.2819	0.0012
 120	0.3134	0.0006
 125	0.3364	0.0005
 130	0.3567	0.0001
 135	0.3694	0.0004
 140	0.3799	0.0009
 145	0.3896	0.0007
 150	0.3998	0.0008
 155	0.4054	0.0009
 160	0.4101	0.0004
 165	0.4152	0.0003
 170	0.4179	0.0006
 175	0.4206	0.0009
 180	0.4230	0.0005
